PROVINCE,DIVISION,DISTRICT,TEHSIL,NOW_POPULATION,POPULATION 1998,FEMALE_POPULATION,MALE_POPULATION,AREA (sq.km),AVG_HOUSEHOLD_SIZE,TRANSGENDER_POPULATION,SEX_RATIO,ANNUAL_GROWTH_RATE,Population Density,POPULATION_INCREASE
PUNJAB,D.G.KHAN DIVISION,MUZAFFARGARH DISTRICT,JATOI TEHSIL,715177,446546,348671,366460,1010.0,12.2,46,105.4410393,1.83598,708.0960396039604,268631
PUNJAB,D.G.KHAN DIVISION,MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,1347501,808438,657460,689962,3471.0,12.9,79,105.161040,2.46404,388.2169403630078,539063
PUNJAB,D.G.KHAN DIVISION,MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,1625487,982866,788557,836782,2377.0,12.82,148,105.7510822,2.65287,683.8397139251157,642621
PUNJAB,D.G.KHAN DIVISION,RAJANPUR DISTRICT,DE-EXCLUDED AREA RAJANPUR,34191,14051,15909,18280,5013.0,6.56,2,114.900,4.78,6.8204667863554755,20140
PUNJAB,D.G.KHAN DIVISION,RAJANPUR DISTRICT,JAMPUR TEHSIL,849389,485051,415556,433764,2322.0,14.719999999999999,69,104.5310339,3.05259,365.80060292850993,364338
PUNJAB,D.G.KHAN DIVISION,RAJANPUR DISTRICT,RAJANPUR TEHSIL,706770,395953,342489,364183,2078.0,14.79,98,106.6310564,2.4518,340.1203079884504,310817
PUNJAB,D.G.KHAN DIVISION,RAJANPUR DISTRICT,ROJHAN TEHSIL,405689,208563,193714,211937,2905.0,14.370000000000001,38,109.5310611,3.66142,139.65197934595525,197126
PUNJAB,FAISALABAD DIVISION,CHINIOT DISTRICT,BHAWANA TEHSIL,373841,272754,183012,190789,879.0,12.61,40,104.4110265,1.44479,425.30261660978385,101087
PUNJAB,FAISALABAD DIVISION,CHINIOT DISTRICT,CHINIOT TEHSIL,555796,382876,269986,285756,709.0,12.899999999999999,54,104.691070,1.46255,783.9153737658675,172920
PUNJAB,FAISALABAD DIVISION,CHINIOT DISTRICT,LALIAN TEHSIL,439022,309494,215916,223061,1055.0,11.41,45,104.2610051,1.75218,416.1345971563981,129528
PUNJAB,FAISALABAD DIVISION,FAISALABAD DISTRICT,CHAK JHUMRA TEHSIL,332966,253806,165259,167673,654.0,12.690000000000001,34,101.3310224,1.31222,509.1223241590214,79160
PUNJAB,FAISALABAD DIVISION,FAISALABAD DISTRICT,FAISALABAD CITY TEHSIL,3244259,2140346,1574667,1669218,168.0,12.629999999999999,374,105.8810601,6.84249,19311.065476190477,1103913
PUNJAB,FAISALABAD DIVISION,FAISALABAD DISTRICT,FAISALABAD SADAR TEHSIL,1465027,924110,713993,750889,1186.0,13.1,145,105.2510227,2.4429,1235.2672849915682,540917
PUNJAB,FAISALABAD DIVISION,FAISALABAD DISTRICT,JARANWALA TEHSIL,1493923,1061846,725957,767809,1811.0,13.0,157,105.6610633,1.67268,824.9160684704583,432077
PUNJAB,FAISALABAD DIVISION,FAISALABAD DISTRICT,SAMMUNDRI TEHSIL,643114,508637,318721,324328,754.0,12.93,65,102.0210096,0.36567,852.9363395225464,134477
